출발지,도착지,거리 (km)
본관_상경_삼거리2,보의관_조형1,0.14907317314559826
본관_상경_삼거리2,보의관_조형2,0.1398000532122065
본관_상경_삼거리2,보의관_조형3,0.13063160247860772
본관_상경_삼거리2,보의관_조형4,0.1215915011138065
본관_상경_삼거리2,보의관_조형5,0.11271063719373216
본관_상경_삼거리2,보의관_조형6,0.10402980089928891
본관_상경_삼거리2,보의관_조형7,0.09560349620108488
본관_상경_삼거리2,보의관_조형8,0.0875052849658378
본관_상경_삼거리2,보의관_조형9,0.07983507272224628
본관_상경_삼거리2,인사관_조형학관,0.17933780302001948
본관_상경_삼거리2,멀베리1,0.22909904810291346
본관_상경_삼거리2,멀베리2,0.21913643806560307
본관_상경_삼거리2,멀베리3,0.20929981484634555
본관_상경_삼거리2,멀베리4,0.189384425613035
본관_상경_삼거리2,인사관_디정관23,0.19960780553733473
본관_상경_삼거리2,멀베리_삼거리,0.2391719013262841
본관_상경_삼거리2,기숙사_오르막길,0.2594662886300017
본관_상경_삼거리2,기숙사_오르막길1,0.2658290299694074
본관_상경_삼거리2,제2엘림생활관,0.24787902869964154
본관_상경_삼거리2,2관_입구,0.25685083548564075
본관_상경_삼거리2,기숙사_오르막길2,0.2598206147768638
본관_상경_삼거리2,기숙사_오르막길3,0.26046102634231444
본관_상경_삼거리2,기숙사_오르막길4,0.26138542073617077
본관_상경_삼거리2,기숙사_오르막길5,0.2625907990711944
본관_상경_삼거리2,기숙사_오르막길6,0.2640733138571835
본관_상경_삼거리2,기숙사_오르막길_멀베리1,0.25414041650728925
본관_상경_삼거리2,기숙사_오르막길_멀베리2,0.2489758169241689
본관_상경_삼거리2,기숙사_오르막길_멀베리3,0.2439827312438736
농구장_상경11,공학1관_앞_0,0.044976795540776444
농구장_상경11,공학1관_앞,0.04387241168754306
농구장_상경11,공학1관_앞_1,0.01852390445245619
농구장_상경11,공학1관_앞_2,0.024859861013828168
농구장_상경11,공학1관_앞_3,0.031196914637208594
농구장_상경11,공학1관_앞_4,0.037534509727872
농구장_상경11,본관_상경 삼거리,0.012190755425333275
농구장_상경11,본관_상경_삼거리2,0.006094828740695305
농구장_상경11,농구장_상경12,0.006094828777892921
농구장_상경11,농구장_상경_보의관1,0.0412428032132514
농구장_상경11,농구장_상경_보의관2,0.033259687008466675
농구장_상경11,농구장_상경_보의관3,0.02534646922016992
농구장_상경11,농구장_상경_보의관4,0.017597700266330316
농구장_상경11,농구장_상경_보의관5,0.010388142726525471
농구장_상경11,상경_보의관1,0.04926184671518603
농구장_상경11,상경_보의관2,0.051313835006791625
농구장_상경11,상경_보의관3,0.05473013973693775
농구장_상경11,상경_보의관4,0.0592753332374471
농구장_상경11,상경_보의관5,0.06471198079844544
농구장_상경11,상경_보의관6,0.07083511962875627
농구장_상경11,상경_보의관_삼거리,0.07748324970051136
농구장_상경11,보의관_조형_흡연구역1,0.16083500875155204
농구장_상경11,보의관_조형_흡연구역1_1,0.1778328506456317
